method,method_label,scenario_name,scenario_label,scenario_category,active_agent_count,min_agents,step_churn_prob,inactive_noise_std,seed_count,eval_episodes_per_seed,reward_mean,reward_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,grid_trade_mean,grid_trade_std,carbon_mean,carbon_std,n_agents_mean,n_agents_std,attn_leakage_per_call,attn_leakage_per_call_std,attn_entropy_mean,attn_entropy_std,inactive_action_abs_mean,inactive_action_abs_std
full_ours,Full / Ours,scale_30,30 active agents,scale_sweep,30,30,0.0,0.0,1,20,91.87277852694193,0.0,0.1870052593229377,0.0,2.8129054681227865,0.0,0.22398447378284234,0.0,3.036889941905629,0.0,1.6745595481744453,0.0,30.0,0.0,nan,nan,2.385118895036275,0.0,nan,nan
without_structured_mask,w/o Structured Mask,dynamic_churn05_p50,"5-30 agents, churn 0.50",dynamic,,5,0.5,0.0,1,30,93.74971624204578,0.0,0.12723608492041388,0.0,2.7504402917029718,0.0,0.1894280007344488,0.0,2.9398682924374215,0.0,1.6495684658810978,0.0,17.83611111111111,0.0,nan,nan,2.384383878212266,0.0,0.7666263325333985,0.0
without_structured_mask,w/o Structured Mask,dynamic_churn10_p30,"10-30 agents, churn 0.30",dynamic,,10,0.3,0.0,1,30,92.17759532597329,0.0,0.15851532845434513,0.0,2.7502672403881996,0.0,0.20846965079534574,0.0,2.9587368911835457,0.0,1.6538720657329962,0.0,20.202777777777776,0.0,nan,nan,2.3867850927598706,0.0,0.7693906382152979,0.0
without_structured_mask,w/o Structured Mask,dynamic_churn20_p20,"20-30 agents, churn 0.20",dynamic,,20,0.2,0.0,1,30,93.05844732655419,0.0,0.1422722485787617,0.0,2.808818797719153,0.0,0.2036199894333635,0.0,3.0124387871525147,0.0,1.660774008280508,0.0,25.57916666666667,0.0,nan,nan,2.3846794616654923,0.0,0.7728836728285864,0.0
without_structured_mask,w/o Structured Mask,dynamic_static30,Static 30 agents,dynamic,,30,0.0,0.0,1,30,93.06432348092396,0.0,0.14807887770247313,0.0,2.7806619582949876,0.0,0.20272512626285746,0.0,2.983387084557845,0.0,1.6507296745611995,0.0,30.0,0.0,nan,nan,2.3862745501006017,0.0,nan,nan
without_structured_mask,w/o Structured Mask,dynamic_var20,Variable 20-30 agents,dynamic,,20,0.0,0.0,1,30,92.84160998397402,0.0,0.1758594632663009,0.0,2.7896039425353645,0.0,0.2311624253177607,0.0,3.020766367853126,0.0,1.6487658952749837,0.0,24.5,0.0,nan,nan,2.3860361999257016,0.0,0.7675888112699143,0.0
without_structured_mask,w/o Structured Mask,noise_churn10_p30,Inactive-noise stress,inactive_noise,,10,0.3,5.0,1,40,92.92957462767761,0.0,0.18347656691730224,0.0,2.754549614979452,0.0,0.17399016824587737,0.0,2.9285397832253297,0.0,1.6359525102829644,0.0,20.078125000000004,0.0,nan,nan,2.409659371828365,0.0,0.5026508298988209,0.0
without_structured_mask,w/o Structured Mask,scale_01,1 active agents,scale_sweep,1,1,0.0,0.0,1,20,85.85976488186667,0.0,0.0,0.0,2.5400402828607165,0.0,0.37115027742102435,0.0,2.911190560281741,0.0,1.5194074124430998,0.0,1.0,0.0,nan,nan,2.38590548450911,0.0,0.7611386046099023,0.0
without_structured_mask,w/o Structured Mask,scale_02,2 active agents,scale_sweep,2,2,0.0,0.0,1,20,91.88180055146417,0.0,0.06772472521350204,0.0,2.834139197195845,0.0,0.24763787677282334,0.0,3.0817770739686687,0.0,1.670242145845754,0.0,2.0,0.0,nan,nan,2.388484151160619,0.0,0.7683103296491834,0.0
without_structured_mask,w/o Structured Mask,scale_03,3 active agents,scale_sweep,3,3,0.0,0.0,1,20,90.6999036823089,0.0,0.12024796591129036,0.0,2.9532325613668275,0.0,0.27787468020814476,0.0,3.2311072415749726,0.0,1.7534337203979145,0.0,3.0,0.0,nan,nan,2.386312510085399,0.0,0.7587643671428225,0.0
