seller_id,buyer_0,buyer_1,buyer_2,buyer_3,buyer_4,buyer_5,buyer_6,buyer_7,buyer_8,buyer_9,buyer_10,buyer_11,buyer_12,buyer_13,buyer_14,buyer_15,buyer_16,buyer_17,buyer_18,buyer_19,buyer_20,buyer_21,buyer_22,buyer_23,buyer_24,buyer_25,buyer_26,buyer_27,buyer_28,buyer_29
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1330920747297195,0.0,0.0,0.0,0.0,0.0,-1.891178449722803,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34596191063666604,0.0,-0.14937020430036946,-0.05645006134597888,-0.3556331349169411,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7521468642204097,0.0
13,-1.656648123505155,0.0,0.0,0.0,-1.1435903846503588,0.0,0.0,0.0,-0.4775644685802269,-0.17359678779985901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34220467024722534,0.0,0.0,-1.2157845819064554,-0.9048809398978368,-1.7599015267433742,-0.6384085578793517,-1.124203112862813
14,0.0,-1.1698168266715252,-1.2816791579349043,0.0,-1.5602073334722109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2747374225292612,0.0,0.0,-1.185385400582234,-2.099814268850046,-0.23815764928834185,-1.9301977692288181,-0.3823121351383477
15,-0.3467008636585471,0.0,-0.39687851289070314,-0.039753659148689245,0.0,0.0,-0.8920086512679678,0.0,-0.17549523838018283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14748311541584722,0.0,-1.1814904130432957,0.0,0.0,0.0,-2.171296543986812,-3.7609878986420817
16,-0.9003071040352532,-0.030168626103243015,-0.24299935144494816,-1.8260314362393362,0.0,-0.005113037915389295,0.0,0.0,-0.8684936948219991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12520512998522654,0.0,-1.5955842323363563,-0.6968003528767696,0.0
17,0.0,0.0,0.0,-0.8448389227595416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8037088472760306,0.0,0.0,0.0,-1.9773012367475011
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15871194534260696,-0.1483324033162678,0.0,0.0,0.0,0.0,0.0,0.0
19,-0.9397816442722888,-1.6990605243958756,-0.1992447758915114,0.0,-1.6882547183681094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7245692361086804,0.0,-1.5605064091365868,0.0,0.0
