method,active_agent_count,reward_mean,reward_std,reward_drop_vs_max_count_mean,reward_drop_vs_max_count_std,p2p_mean,p2p_std,grid_buy_mean,grid_buy_std,grid_sell_mean,grid_sell_std,carbon_mean,carbon_std,n_agents_mean,n_agents_std
dp_lcrl,30,74.86226861704556,0.00901488149082162,0.0,0.0,0.0,0.0,3.152512216909628,0.006301923184703638,0.5429036431923916,0.004454672760907479,2.0095229356437736,0.0,30.0,0.0
mappo_shared,5,71.02533903419972,0.03301669059590556,0.05074451421130086,4.405981341345933e-05,0.0,0.0,2.9336080174188126,0.026282488074037193,0.5847188896092502,0.010279361912301745,1.8667933606903253,7.198873693988618e-05,5.0,0.0
mappo_shared,10,75.90664561192195,0.03110610605239905,-0.014494297323646,8.895478251884518e-06,0.0,0.0,3.163515258540651,0.024868026031072372,0.496371209340535,0.009247385084483677,1.9959287423594052,6.337474803601279e-05,10.0,0.0
mappo_shared,15,73.87699240636495,0.03080023768560771,0.012632073619779978,1.5715559668159408e-06,0.0,0.0,3.177820386472565,0.02429964278796841,0.5733188187532113,0.009071648829292902,2.003181400956763,6.704423832357785e-05,15.0,0.0
mappo_shared,20,73.23266289803303,0.032514582139232216,0.021243565361224875,2.5034509258840648e-05,0.0,0.0,3.1409624630878614,0.02568669164643067,0.5434062800682411,0.009793431047425043,1.9907748201985953,7.25635609850094e-05,20.0,0.0
mappo_shared,25,74.70402121560441,0.03165785098954882,0.0015788149268482086,5.373431996938329e-06,0.0,0.0,3.20200370845768,0.025135052510500216,0.5220387264201155,0.009142300820406964,2.0217950876206827,6.73990294952496e-05,25.0,0.0
mappo_shared,30,74.82215137982534,0.031312448580368475,0.0,0.0,0.0,0.0,3.1856723243158034,0.024773136141632467,0.5302537188351667,0.00916811554850088,2.009571148500036,6.81832752068804e-05,30.0,0.0
mlp_pad,5,71.00740031546188,0.013934100041520276,0.05182038776776376,0.0004570584335909689,0.0009300829395119639,3.512008511875186e-05,2.9626154416737474,0.0047598046630272246,0.5735380517814773,0.0019393618859528023,1.8665934611141557,0.00017767052646567802,5.0,0.0
mlp_pad,10,75.92638368937703,0.027179184374806407,-0.01386392018641512,0.000329072765728701,0.0022469352428546967,0.0010598969762417602,3.189670244691174,0.0032127123394864545,0.486450437566581,0.001617806687862955,1.995036490106041,0.0005725084160840021,10.0,0.0
mlp_pad,15,73.94196268527044,0.007804336172991189,0.012634396787562707,0.0005359201446923291,0.003548441722124703,0.000685220540243102,3.204010985694539,0.003775246577378928,0.562383392013632,0.0018044637398902834,2.001385015237532,0.00024698651976262306,15.0,0.0
mlp_pad,20,73.28528210081988,0.03646792244471188,0.021403473021230527,9.311296658586717e-05,0.003608941240224628,0.0009199810839206631,3.169069731904525,0.003912380249604052,0.5319102905341689,0.0017796522675168223,1.9891778747833602,0.0006560409649231455,20.0,0.0
mlp_pad,25,74.75963050466446,0.042101738008487856,0.0017161721758258998,3.4540117762363566e-05,0.0038647987953499643,0.0011014860022047898,3.231145420147005,0.00469774084554502,0.5104262325120443,0.0019155553864609578,2.020115616137696,0.0007580607828175958,25.0,0.0
mlp_pad,30,74.88815208127102,0.04317469957145392,0.0,0.0,0.0044721691732212835,0.0009354673814876981,3.2147312088146567,0.00773954425528889,0.5183234925090279,0.0030278677489628566,2.007680799508534,0.0007390079359162674,30.0,0.0
